Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Glow,Kaya Street,Glow,0k7O544ofpgWs3pTXaeOmW,4BrtbcDX9IJLo4EiwVejcA,0,2023-03-22,282000,False,https://open.spotify.com/track/4BrtbcDX9IJLo4EiwVejcA,0.549,0.751,8,-9.783,1,0.0389,0.0723,0.00886,0.155,0.281,80.023
Yellow,Coldplay,Parachutes,6ZG5lRT77aJ3btmArcykra,3AJwUDP919kvQ9QcozQPxg,89,2000-07-10,266773,False,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,42WVQWuf1teDysXiOupIZt,6gBFPUFcJLzWGx4lenP6h2,85,2016-09-16,243837,True,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049
Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born Soundtrack,4sLtOBOzn4s3GDUv3c5oJD,2VxeLyX666F8uXCJ0dZF8B,82,2018-10-05,215733,False,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,0.577,0.385,7,-6.362,1,0.03,0.371,0.0,0.231,0.331,95.82
Imperfections,Izza,Because I'm Blonde,5xvrgR3xYOA7bmuS0NPhTf,4iwLDA6XdWfkQnCzyqNjKq,24,2024-11-15,209566,False,https://open.spotify.com/track/4iwLDA6XdWfkQnCzyqNjKq,0.484,0.316,11,-11.119,0,0.0574,0.692,0.0,0.29,0.332,145.012
Cruel Summer,Taylor Swift,Lover,1NAmidJlEaVgA3MpcPFYGq,1BxfuPKGuaTgP7aM0Bbdwr,89,2019-08-23,178427,False,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
Love Yourself,Justin Bieber,Purpose (Deluxe),7fZH0aUAjY3ay25obOUf2a,3hB5DgAiMAQ4DzYbsMq1IT,1,2015-11-13,233720,False,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418
I Wanna Be Yours,Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,5XeFesFbtLpXzIVDNQP22n,90,2013-09-09,183956,False,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
Thunder,Imagine Dragons,Evolve,5GlPAy2PRJW06GVFhKwGTl,0tKcYR2II1VCQWT79i5NrW,3,2017-06-23,187147,False,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88
All of Me,John Legend,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC,3U4isOIWM3VvDubwSI3y7a,83,2013-08-30,269560,False,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
The Night We Met,Lord Huron,Strange Trails,4sD1qg4jwTZR4mvR4Iflk5,3hRV0jL3vUpRrcy398teAU,88,2015-04-06,208212,False,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097
On My Way,Jay Putty,On My Way,7hEWePP7uRtpwKbHFSr30N,3eoan9A3pDSzDZzDzh0Xrr,40,2024-01-16,216841,False,https://open.spotify.com/track/3eoan9A3pDSzDZzDzh0Xrr,0.575,0.813,2,-7.346,1,0.0293,0.00883,4.86e-05,0.195,0.516,109.954
Die For You,The Weeknd,Starboy,2ODvWsOgouMbaA5xf0RkJe,2Ch7LmS7r2Gy2kc64wv3Bz,78,2016-11-25,260253,False,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,0.586,0.525,1,-7.163,0,0.0616,0.111,0.0,0.134,0.507,133.63
Wake Me Up - Radio Edit,Avicii,True,02h9kO2oLKnLtycgbElKsw,6g1NlCpW7fgqDnWbCCDrHl,4,2013-01-01,247427,False,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
Demons,Imagine Dragons,Night Visions (Deluxe),1vAEF8F0HoRFGiYOEeJXHW,2Oehrcv4Kov0SuIgWyQY9e,18,2012-09-04,175200,False,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561
The Hills,The Weeknd,Beauty Behind The Madness,28ZKQMoNBB0etKXZ97G2SN,25khomWgBVamSdKw7hzm3l,1,2015-08-28,242253,True,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l,0.356,0.567,0,-7.011,0,0.0798,0.0861,0.0,0.137,0.109,135.553
Drive,Andrew Mijares,Drive,0zdbWPEhZGNBpCuaMijGc2,23ZFWDVtZgdKY2s509MR6Z,1,2024-11-08,180142,False,https://open.spotify.com/track/23ZFWDVtZgdKY2s509MR6Z,0.729,0.573,6,-9.712,0,0.0291,0.293,0.0,0.292,0.491,99.988
Stressed Out,Twenty One Pilots,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,3CRDbSIZ4r5MsZ0YwxuEkn,83,2015-05-15,202333,False,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,1CEODgTmTwLyabvwd7HBty,1mea3bSkSGXuIRvnydlB5b,85,2008-05-26,242373,False,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
No Role Modelz,J. Cole,2014 Forest Hills Drive,0UMMIkurRUmkruZ3KGBLtG,68Dni7IE4VyPkTOH9mRWHr,84,2014-12-09,292799,True,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
Liberty,Rebecca,Liberty,2Bv74KPtzfZcU7dBQpyCsZ,5Pl1oC4kKL3lZRkOMFnwuE,33,2024-08-16,176309,False,https://open.spotify.com/track/5Pl1oC4kKL3lZRkOMFnwuE,0.571,0.352,0,-10.009,1,0.0257,0.0203,0.00174,0.337,0.204,86.06
HUMBLE.,Kendrick Lamar,DAMN.,7wbJhbCvhPfbK1CLAkpq25,7ujx3NYtwO2LkmKGz59mXp,1,2017-04-14,177000,True,https://open.spotify.com/track/7ujx3NYtwO2LkmKGz59mXp,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018
Let Her Go,Passenger,All The Little Lights,2mylGx7w2Q3yhUyN8iEWOF,7DFNE7NO0raLIUbgzY2rzm,4,2012-11-05,252867,False,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089
7 rings,Ariana Grande,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,6ocbgoVGwYJhOv1GgI9NsF,82,2019-02-08,178627,True,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,0.777,0.317,1,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848
Mr. Brightside,The Killers,Hot Fuss,4piJq7R3gjUOxnYs6lDCTg,003vvx7Niy0yvhvHt4a68B,85,2004,222973,False,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
Without Me,Eminem,The Eminem Show,2cWBwpqMsDJC1ZUwz813lo,7lQ8MOhq6IN2w8EYcFNSUk,86,2002-05-26,290320,True,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
Lose Yourself,Eminem,SHADYXV,3CjuTytLZz3G9znXt2rJgU,7MJQ9Nfxzh8LPZ9e9u68Fq,69,2014-11-24,320627,True,https://open.spotify.com/track/7MJQ9Nfxzh8LPZ9e9u68Fq,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,4xWulj18AGahlyuZPulaGe,0B7wvvmu9EISAwZnOpjhNI,51,2012-12-05,213827,False,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI,0.601,0.271,0,-8.688,1,0.0403,0.937,0.0,0.144,0.411,145.494
Do I Wanna Know?,Arctic Monkeys,AM,78bpIziExqiI9qztvNFlQu,5FVd6KXrgO9B3JPmC8OPst,84,2013-09-09,272394,False,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,6J84szYCnMfzEcvIcfWMFL,47Slg6LuqLaX0VodpSCvPt,81,2010-05-11,220734,False,https://open.spotify.com/track/47Slg6LuqLaX0VodpSCvPt,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021
drivers license,Olivia Rodrigo,SOUR,6s84u2TUpR3wdUv4NgKA2j,5wANPM4fQCJwkGd4rN57mH,82,2021-05-21,242013,True,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
How Many Times,JJ & The Mood,How Many Times,0C9bCu5Hi5vyEwPGUVeR7u,4c9ihNMojL2wOGglzQ2aCG,31,2021-02-10,330000,False,https://open.spotify.com/track/4c9ihNMojL2wOGglzQ2aCG,0.897,0.66,7,-9.548,1,0.123,0.0418,0.00706,0.0833,0.754,120.043
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,7ef4DlsgrMEH11cDZd32M6,78,2018-04-06,214847,False,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
Treat You Better,Shawn Mendes,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq,48DKpTEVJ2pAjxQbWTad3q,54,2017-04-20,187973,False,https://open.spotify.com/track/48DKpTEVJ2pAjxQbWTad3q,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697
good 4 u,Olivia Rodrigo,SOUR,6s84u2TUpR3wdUv4NgKA2j,4ZtFanR9U6ndgddUvNcjcG,82,2021-05-21,178147,True,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
SAD!,XXXTENTACION,?,2Ti79nwTsont5ZHfdxIzAm,3ee8Jmje8o58CHK66QrVC2,79,2018-03-16,166606,True,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
Let Me Love You,"DJ Snake, Justin Bieber",Encore,02sEJTj1sye1JaqxqpcSCp,0lYBSQXN6rCTvUZvg9S0lU,83,2016-08-05,205947,False,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892
Unforgettable,"French Montana, Swae Lee",Jungle Rules,4c2p3TdN7NcQfCXyueCNnC,3B54sVLJ402zGa6Xm4YGNe,84,2017-07-14,233902,True,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985
Flowers,Miley Cyrus,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,7DSAEUvxU8FajXtRloy8M0,87,2023-08-18,200600,False,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048
In the End,Linkin Park,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,60a0Rd6pjrkxjPbaKzXjfq,87,2000,216880,False,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Jocelyn Flores,XXXTENTACION,17,5VdyJkLe3yvOs0l4xXbWp0,7m9OqQk4RVRkw9JJdeAw96,79,2017-08-25,119133,True,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
Every Breath You Take,The Police,Synchronicity (Remastered 2003),5W9OT0a5iZlBr83a9WMKFY,1JSTJqkT5qHq8MDJnJbRE1,86,1983-06-17,253920,False,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401
That's What I Like,Bruno Mars,24K Magic,4PgleR09JVnm3zY1fW3XBA,0KKkJNfGyhkQ5aFogxQAPU,88,2016-11-17,206693,False,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
Happier,"Marshmello, Bastille",Happier,78EicdHZr5XBWD7llEZ1Jh,2dpaYNEQHiRxtZbfNsse99,11,2018-08-17,214290,False,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,4xWulj18AGahlyuZPulaGe,5g7sDjBhZ4I3gcFIpkrLuI,51,2012-12-05,233653,False,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI,0.728,0.697,5,-4.125,1,0.0456,0.0556,0.0,0.282,0.87,143.986
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,7GX5flRQZVHRAGd6B4TmDO,81,2017-08-25,182707,True,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096
