title,rank,date,artist,url,region,chart,trend,streams
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),15,2020-12-24,Frank Sinatra,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts,Global,top200,MOVE_UP,7401592.0
Todo De Ti,2,2021-06-04,Rauw Alejandro,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF,Global,top200,SAME_POSITION,7399812.0
Permission to Dance,2,2021-07-09,BTS,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2,Global,top200,NEW_ENTRY,7339385.0
Happy Xmas (War Is Over) - Remastered 2010,16,2020-12-24,"John Lennon, Yoko Ono",https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b,Global,top200,MOVE_UP,7333678.0
Circles,1,2019-09-06,Post Malone,https://open.spotify.com/track/0Yde1VrWbGF2Tus2AQhMuT,Global,top200,MOVE_UP,7292777.0
Wonderful Christmastime - Edited Version / Remastered 2011,17,2020-12-24,Paul McCartney,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu,Global,top200,MOVE_UP,7269940.0
willow,1,2020-12-11,Taylor Swift,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,Global,top200,NEW_ENTRY,7268039.0
bad guy,1,2019-04-01,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,Global,top200,SAME_POSITION,7220348.0
Don’t Matter To Me,5,2018-06-29,"Drake, Michael Jackson",https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB,Global,top200,NEW_ENTRY,7207106.0
Yonaguni,3,2021-06-05,Bad Bunny,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,Global,top200,SAME_POSITION,7191161.0
WAP (feat. Megan Thee Stallion),1,2020-09-04,Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,Global,top200,SAME_POSITION,7175768.0
No Time To Die,1,2020-02-14,Billie Eilish,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,Global,top200,NEW_ENTRY,7166720.0
rockstar,1,2017-09-29,"Post Malone, 21 Savage",https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,Global,top200,SAME_POSITION,7156650.0
Holly Jolly Christmas,18,2020-12-24,Michael Bublé,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,Global,top200,MOVE_UP,7142514.0
STARGAZING,2,2018-08-03,Travis Scott,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,Global,top200,NEW_ENTRY,7138624.0
N 2 Deep,10,2021-09-03,"Drake, Future",https://open.spotify.com/track/34D6FJysnQioVingDKufuf,Global,top200,NEW_ENTRY,7137973.0
8 Out Of 10,6,2018-06-29,Drake,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN,Global,top200,NEW_ENTRY,7089070.0
Knife Talk (with 21 Savage ft. Project Pat),11,2021-09-03,Drake,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6,Global,top200,NEW_ENTRY,7071572.0
exile (feat. Bon Iver),3,2020-07-24,Taylor Swift,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,Global,top200,NEW_ENTRY,6977835.0
deja vu,3,2021-05-21,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,Global,top200,MOVE_UP,6965911.0
No Friends In The Industry,12,2021-09-03,Drake,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,Global,top200,NEW_ENTRY,6934847.0
Moonlight,3,2018-06-19,XXXTENTACION,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,Global,top200,MOVE_UP,6928295.0
Rain On Me (with Ariana Grande),1,2020-05-29,Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,Global,top200,MOVE_UP,6894472.0
